Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q78	FR-USER-011	⑤ アプリチーム向け	アプリチーム	通常	利用者削除時にアプリ側のデータも消すか	基盤で利用者を削除したとき、アプリ側が保持している当該利用者のデータはどう扱いますか。	A) アプリ側で個別に判断・実施する（基盤は通知しない）【弊社の推奨・現行の暫定値】 / B) 基盤からの通知を受けてアプリ側で削除する（Q77 の B とセット） / C) 未確定	削除請求（本人からの申し出）を受けたとき、基盤側だけ消してもアプリ側に残っていると対応が完了しないためです。	A を選ぶ場合、削除請求のたびにアプリごとの手作業が発生します。アプリ数が多いと期限内の対応が難しくなります。基盤側は削除した利用者の内部番号を記録として残すため、アプリ側もその番号で自分のデータを特定できる設計（Q49 の番号統一）が前提になります。	B-RTBF-1（削除と記録保持の境界）と同趣旨
Q79	NFR-PERF-001	⑤ アプリチーム向け	アプリチーム	通常	認証の応答時間として許容できる値	ログイン処理の応答時間として、95% が 1 秒以内・99% が 2 秒以内で支障ありませんか。	A) 支障なし 【弊社の推奨・現行の暫定値】 / B) もっと速くしてほしい（希望値と、その根拠となる業務をご記入ください） / C) 未確定	目標値がサーバー台数と月額費用を決めるためです。	現行の内部目標はログイン処理 p99 < 500ms、通行証発行 p99 < 200ms で、要件値より厳しく設定しています。B の場合、余裕を持たせるための台数追加が必要になる可能性があります。なお顧客のログイン基盤側で時間がかかる分は本基盤の目標から除外します（責任分界）。	
Q80	NFR-PERF-002 / NFR-PERF-007	⑤ アプリチーム向け	アプリチーム	通常	同時利用の規模とピーク時間帯	アプリの利用パターンとして、同時ログインが集中する時間帯と、そのときの想定リクエスト数を教えてください。	A) 始業時（8:30〜9:30）に集中。平常時の N 倍（N をご記入ください）【弊社の現行の暫定値: 始業時に集中する想定】 / B) 特定の時間帯への集中はない（終日ほぼ均等） / C) 上記以外のパターン（内容をご記入ください） / D) 未確定	ピークの倍率が事前にサーバーを増やしておく設計の要否を決めるためです。要件表では現在 TBD のまま残っています。	集中が大きい場合、自動増減だけでは間に合わず（増える前にピークが来る）、時間帯に応じた事前増設の設計が追加になります。月額費用も増えます。	
Q81	B-LOG-1	⑤ アプリチーム向け	アプリチーム	通常	アプリ側のログに秘匿情報が出ていないか	アプリのログに、通行証・認可コード・パスワード・セッション識別子などがそのまま出力されていないか確認いただけますか。	A) 出力していない（マスキング実施済み）【あるべき状態】 / B) 出力している可能性がある（調査します） / C) 未確認	これらがログに残ると、ログの閲覧権限を持つ人が利用者になりすませるためです。基盤側は出力前にマスキングする仕組みを持っていますが、アプリ側のログは各アプリの責任範囲です。	設計への影響はありませんが、B・C の場合はリリース前の是正が必須です。是正方法（出力箇所の特定・マスキング処理の追加）は弊社から手順をご提供できます。	
Q82	P-11	⑤ アプリチーム向け	アプリチーム	通常	顧客のログイン基盤の結果をそのまま信頼してよいか（アプリ観点）	お客様企業のログイン基盤で認証された結果を、アプリ側でも追加確認なしに受け入れてよろしいですか。	A) 受け入れる（追加確認なし）【弊社の推奨・現行の暫定値（前提 P-11）】 / B) 特定のアプリ・操作でのみ追加の本人確認を求めたい（対象をご記入ください） / C) 未確定	追加確認を求める場合、どの操作で求めるかをアプリ側が指定する必要があるためです。	A は追加開発なしです。B の場合、アプリが「この操作には追加確認が必要」と基盤へ伝える実装（認可リクエストに `acr_values` を付ける）と、基盤側の判定設定が必要になります。対象操作の一覧は事前に確定が必要です。	Q26（事業側に方針を確認）
Q83	FR-SSO-010	⑤ アプリチーム向け	アプリチーム	後回し可	管理者による強制サインアウトの要否	管理者が特定の利用者の全セッションを強制的に破棄する機能は必要ですか。	A) 必要 【弊社の推奨・現行の暫定値】（インシデント対応で使う） / B) 不要 / C) 未確定	端末紛失や不正アクセスが疑われた際の初動手段になるためです。	A は製品標準機能で追加開発なしです。ただし破棄が反映されるのはリフレッシュ時点で、発行済みのアクセストークンは Q71 のとおり最大 30 分残ります。	
Q84	FR-SSO-008	⑤ アプリチーム向け	アプリチーム	後回し可	セッションのタイムアウト値	無操作が続いたときにログイン状態を切る時間として、1 時間で支障ありませんか（絶対上限は 24 時間）。	A) 支障なし 【弊社の推奨・現行の暫定値（前提 P-09）】 / B) 変更したい（希望値と理由をご記入ください） / C) 未確定	長時間の作業を伴うアプリでは、作業中に切れて入力内容を失う苦情につながるためです。	設定値の変更のみで費用・工数は動きません。長くするほど共用端末での放置リスクが上がります。	
Q85	NFR-PERF-006 / B-TENANT-ISO-1	⑥ 追加確認事項	事業側	最優先	お客様企業ごとの流量上限と、別環境へ分ける基準	(a) 1 社の利用が集中したときに他社へ影響が出ないよう、お客様企業ごとに 1 秒あたりの上限を設けます。ログイン処理の上限値をどうしますか。 ／ (b) どういう条件を満たしたお客様を、共有環境から切り離して別環境に移すことにしますか。	A) 弊社が規模に応じて自動で設定する（お客様ごとの契約人数から算出）【弊社の推奨・現行の暫定値】 / B) 契約ごとに個別に取り決める（大口のお客様のみ引き上げ） / C) 上限を設けない / D) 未確定 / A) 利用規模が一定を超えた場合と、規制業種で物理的な分離を求められた場合の 2 条件 【弊社の推奨・現行の暫定値】 / B) 契約金額で判断する / C) 切り離しは行わない（全社共有のまま） / D) 未確定	本サービスは全社を 1 つの環境に収容する設計で、設備が自動的に分かれるわけではありません。上限を設けないと 1 社の急増が全社のログインを止め得ます。また「うちだけ別にしてほしい」というご要望が出たときの判断基準を先に決めておかないと、都度交渉になります。	上限は設定値のみで追加費用はかかりません（利用者管理・自動同期の API は 1 秒あたり 10 件で設定済み）。C を選ぶと 1 社起因の輻輳を止める手段が無くなります。(b) で切り離しを行う場合、その 1 社分の設備一式が別途必要になり月額費用が発生します。この基準は契約書に明記する前提です。	Q01（利用者数の上限）
Q86	B-401-2	⑥ 追加確認事項	事業側 + アプリチーム	最優先	自動登録された利用者に、最初どの権限を与えるか	お客様のログイン基盤から初めてログインしてきた人を自動登録するとき、その人に最初どの権限を与えますか。	A) 何も与えない（明示的に権限を付けるまで、どのアプリも使えない）【弊社の推奨・業界標準】 / B) 全員に共通の基本権限を与える（ログインすれば最低限の画面は見られる） / C) お客様企業ごとに指定していただく / D) 未確定	自動登録は人手の確認を挟まずに利用者が増える仕組みです。初期権限を広めに設定すると、退職者の情報が古いまま残っているお客様の場合、本来アクセスできないはずの人が入れてしまいます。	A は最も安全ですが、登録直後は何もできないため「ログインできたのに使えない」という問い合わせが発生します（権限が付くまでの案内画面を用意します）。B は利用開始がスムーズな代わり、上記のリスクを受け入れることになります。C はお客様ごとの設定項目が増え、設定ミスの余地が生まれます。この設定は自動登録・自動同期・一括登録のすべてに共通で適用します（登録の経路によって変えません）。	`B-401-2`（Git のヒアリング一覧にあり、Excel には行が無い新規登録が必要な項目）
Q87	B-GD-1	⑥ 追加確認事項	事業側 + アプリチーム	通常	お客様側の署名鍵が入れ替わるときの事前連絡	お客様企業のログイン基盤が署名に使う鍵を入れ替えるとき、事前にご連絡いただく取り決めを契約に入れますか。	A) 入れる（入れ替えの 2 週間前までにご連絡いただく）【弊社の推奨・現行の暫定値】 / B) 入れない（弊社側で自動追従できる範囲で対応する） / C) 未確定	鍵が予告なく入れ替わると、そのお客様の全利用者が突然ログインできなくなります。1000 社規模では、事前連絡が無いと原因の切り分けだけで時間を要します。	A の場合、契約書に連絡義務を入れ、連絡窓口を決めていただく必要があります。B の場合、弊社側で自動的に新しい鍵を取りに行く仕組みが要りますが、その機能が製品に存在するかを実機で確認中です（存在しない場合は運用での代替になります）。なお予告のない鍵の入れ替えは、なりすましの兆候とも区別がつかないため、検知して通報する仕組みは A・B いずれでも入れます。	1000 社規模の証明書更新運用（00a `A-9` の実機確認結果に依存）
Q88	NFR-SEC-010-2	⑥ 追加確認事項	事業側	通常	漏えい済みパスワードの照合	利用者がパスワードを設定するとき、過去に世の中へ流出したパスワードでないか照合して、該当したら拒否する機能を入れますか。	A) 入れる（外部の照合サービスを利用）【弊社の推奨】 / B) 入れない（文字数と文字種のルールのみで判定）【現行の暫定値 — 要件表では未確定】 / C) 未確定	流出したパスワードの使い回しは、総当たり攻撃より成功率が高い攻撃経路です。公的なガイドラインでも照合が推奨されています。	A の場合、外部サービスへの問い合わせが発生します（パスワードそのものは送らず、ハッシュの先頭だけを送る方式のため漏えいリスクはありません）。導入費用は小さいものの、外部への通信が発生する点は、海外送信の観点で法務確認の対象になり得ます。B は追加費用ゼロですが、使い回しを防げません。この機能が効くのは、お客様側にログインの仕組みが無くパスワードを弊社でお預かりする利用者のみです。	
Q89	FR-ADMIN-008	⑥ 追加確認事項	事業側	通常	設定変更の履歴をお客様に見せるか	「誰がいつ、どの設定を変更したか」の履歴を、お客様企業の管理者が自分で閲覧できるようにしますか。	A) 自社に関する変更のみ閲覧できる（他社の変更は見えない）【弊社の推奨・現行の暫定値】 / B) 閲覧できない（ご要望があれば弊社が抽出してお渡しする） / C) 未確定	監査を受けるお客様は「自社の設定が勝手に変えられていないこと」を自分で確認したいという要求を持つためです。	A の場合、他社の記録が混ざらないよう絞り込む仕組みが管理画面に必要です（記録自体はすでに取得しています）。B は追加開発ゼロですが、依頼のたびに弊社の運用作業が発生します。	Q54（記録を残す期間）
Q90	FR-ADMIN-010	⑥ 追加確認事項	事業側	通常	管理者の権限をどこまで細かく分けるか	お客様企業の管理者の権限を、役割ごとに細かく分ける必要はありますか（例: 利用者の追加はできるが削除はできない）。	A) 3 段階で分ける（弊社の運用者 / お客様の管理者 / 参照のみ）【弊社の推奨・現行の暫定値】 / B) もっと細かく分けたい（必要な役割の一覧をご記入ください） / C) 分けない（管理者は全操作可能） / D) 未確定	分け方が細かいほど安全ですが、管理画面の作り込みと設定作業が増えます。	A は設計済みの構成で追加開発なしです。B は役割の数だけ画面の出し分けと権限判定が増え、開発工数が積み上がります。C は「管理者が誤って全利用者を削除する」事故を防げません。	Q23 / `B-TAP-1`（管理画面の必要性）
Q91	B-AUTHZLOG-1	⑥ 追加確認事項	事業側	通常	監査人が求める「許可・拒否の記録」の細かさ	監査を受ける際、「誰がどの操作を許可されたか・拒否されたか」の記録として、どこまでの細かさを求められる見込みですか。	A) 拒否は全件、重要な操作の許可は全件、通常の閲覧はまとめて記録 【弊社の推奨・現行の暫定値】 / B) すべての操作を 1 件ずつ記録 / C) 記録は不要（誰がログインしたかの記録だけで足りる） / D) 未確定	すべてを 1 件ずつ残すと記録の量が膨大になり保管費用が跳ね上がるため、どこまで必要かを先に決める必要があるためです。	A は方式を決定済みで追加開発なしです。B は記録量が数十倍になり、保管費用と検索性能に影響します。C を選んでも、後から必要になったときに過去に遡って記録を作ることはできません。	
Q92	B-KMS-3	⑥ 追加確認事項	事業側	通常	お客様ごとに専用の暗号鍵を用意するか	データの暗号化に使う鍵を、お客様企業ごとに別々に用意する必要はありますか。	A) 不要（本サービス全体で共通の鍵を使う。鍵は AWS の鍵管理サービスで保護）【弊社の推奨・現行の暫定値】 / B) 必要（対象となるお客様と、その理由をご記入ください） / C) 未確定	金融・医療など一部の規制業種で「自社のデータは自社専用の鍵で暗号化されていること」を求められる場合があるためです。	A は追加費用なしです。B の場合、お客様数に比例して鍵の管理費用が発生し（1 鍵あたり月額数ドル）、鍵の入れ替え作業もお客様数ぶん増えます。加えて、お客様ごとに鍵を分けるとデータの持ち方そのものを分ける必要が出る場合があり、Q85 の別環境への切り離しと連動します。	
Q93	NFR-SEC-013	⑥ 追加確認事項	事業側	通常	疑似的な攻撃による安全性検査	外部の専門業者による疑似的な攻撃の検査を、どの頻度で実施しますか。	A) リリース前に 1 回 + 以降は年 1 回 【弊社の推奨】 / B) リリース前に 1 回のみ（以降は大きな変更時） / C) 年 2 回以上（頻度をご記入ください） / D) 実施しない / E) 未確定	実施費用が年額で継続的に発生し、お客様から検査の報告書を求められた際の提出可否にも関わるためです。	1 回あたり外部業者への委託費用が発生します（金額は範囲によります）。検査対象にインターネットの出入口を含める場合、そこは他組織の管理下にあるため、実施には他組織の事前承諾が必要です。D を選ぶと、監査や大口のお客様との契約時に不利になる可能性があります。	
Q94	NFR-OPS-009	⑥ 追加確認事項	事業側	後回し可	運用にかかる人手の想定	本サービスの運用に必要な人手を、どの規模で見込みますか。	A) 運用者 10 名体制（リード 3 名 + 各系統の担当 + 緊急時の鍵管理者 2 名）【弊社の推奨・現行の暫定値】 / B) これより小さい規模で始めたい（想定人数をご記入ください） / C) 未確定	人数がQ48（障害対応の受付時間帯）と直結し、24 時間 365 日対応を約束できるかどうかを決めるためです。	Q48 で「リリース時点から 24 時間 365 日」を選ぶ場合、10 名が揃っていることが前提になります。B の場合、対応時間帯を平日日中に限定するか、一部の運用を自動化する追加開発でカバーすることになります。	Q48
